bf,final_val,table_rows,store_dim,table_params,peak_mib,step_avg_ms,hit_frac_ever,hit_frac_gt1,touched_fraction,log
40,3.260200,4024328,384,1545341952,29732,1117.540,1,1,0.2223,bf40_sota_meta_scaling_seed5_1500_20260609.txt
80,3.256000,8048648,384,3090680832,35673,1119.510,1,1,0.1186,bf80_sota_meta_scaling_seed5_1500_20260609.txt
120,3.252500,12073004,384,4636033536,41614,1118.340,1,1,0.08084,bf120_sota_meta_scaling_seed5_1500_20260609.txt
200,3.250500,20121612,384,7726699008,53496,1119.700,0.9999,0.9996,0.0494,bf200_sota_meta_scaling_seed5_1500_20260609.txt
300,3.248000,30182422,384,11590050048,68349,1119.000,0.9989,0.9957,0.03323,bf300_sota_meta_scaling_seed5_1500_20260609.txt
400,3.245800,40243242,384,15453404928,89794,1120.070,0.9956,0.9851,0.02503,bf400_sota_meta_scaling_seed5_1500_20260609.txt
