family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
count-sketch bounded combine-mix + hash seed 1,300,5,1,1500,3.246200,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_seed5_1500_20260611.txt
count-sketch bounded combine-mix + hash seed 1,400,5,0,750,5.355500,40243242,384,15453404928,bf400_hashseed1_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_seed5_1500_20260611.txt
count-sketch bounded combine-mix + hash seed 1 + layerdelta,300,5,0,250,8.508700,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_seed5_1500_20260611.txt
count-sketch bounded combine-mix + hash seed 1 aux decay,300,5,0,1000,3.504600,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05to0_s750_500_seed5_1500_20260611.txt
count-sketch bounded combine-mix + hash seed 1 base hit-hist,300,5,0,250,8.511300,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix + layerdelta,300,5,0,500,7.248300,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist,300,5,1,1500,3.245400,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist,400,5,1,1500,3.245500,40243242,384,15453404928,bf400_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist + layerdelta 0.25,300,5,0,500,7.244100,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_scale025_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist + layerdelta ramp,300,5,1,1500,3.245300,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_0to1_s500_500_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist + layerdelta ramp 0.25,300,5,1,1500,3.245100,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_0to025_s500_500_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist + layerdelta ramp 0.5,300,5,1,1500,3.245000,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_0to05_s500_500_basehist_seed5_1500_20260611.txt
count-sketch bounded combine-mix base hit-hist + learned layerdelta scale,300,5,0,1250,3.344800,30182422,384,11590050048,bf300_sketchk2_combinemix_bounded01_dimsigns_balanced_base_aux05_layerdelta_learnscale025_s500_500_basehist_seed5_1500_20260611.txt
count-sketch bounded0.2 combine-mix + hash seed 1,300,5,0,500,7.241400,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_bounded02_dimsigns_balanced_base_aux05_seed5_1500_20260611.txt
count-sketch k3 bounded combine-mix base hit-hist,300,5,0,1000,3.500600,30182422,384,11590050048,bf300_sketchk3_combinemix_bounded01_dimsigns_balanced_base_aux03536_basehist_seed5_1500_20260611.txt
count-sketch slot-mix,300,5,0,250,8.509600,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_layerdelta_seed5_1500_20260611.txt
count-sketch slot-mix,300,5,1,1500,3.245200,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_rerun2_seed5_1500_20260611.txt
count-sketch slot-mix,300,5,0,500,7.233400,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_seed5_1500_20260610.txt
count-sketch slot-mix,300,6,0,1000,3.502100,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_seed6_1500_20260611.txt
count-sketch slot-mix,300,7,1,1500,3.246100,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_seed7_1500_20260611.txt
count-sketch slot-mix + AttnRes extra 1.0 decay,300,5,0,500,7.232200,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale1p0to0_s250_250_seed5_1500_20260611.txt
count-sketch slot-mix + AttnRes extra 1.25 decay,300,5,1,1500,3.246000,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale1p25to0_s250_250_seed5_1500_20260611.txt
count-sketch slot-mix + AttnRes extra 1.25 decay,400,5,0,500,7.239800,40243242,384,15453404928,bf400_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale1p25to0_s250_250_seed5_1500_20260611.txt
count-sketch slot-mix + AttnRes extra 1.5 decay,300,5,0,500,7.231100,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale1p5to0_s250_250_seed5_1500_20260611.txt
count-sketch slot-mix + hashseed1 + AttnRes extra 1.25 decay,400,5,0,250,8.517900,40243242,384,15453404928,bf400_hashseed1_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale1p25to0_s250_250_seed5_1500_20260611.txt
count-sketch slot-mix + late AttnRes extra 1.25,300,5,0,1000,3.504400,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux05_attnresextra5to8_biasm2_scale0to1p25_s500_500_seed5_1500_20260611.txt
count-sketch slot-mix aux0.25 + AttnRes extra 1.25 decay,300,5,0,250,8.513800,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_dimsigns_balanced_base_aux025_attnresextra5to8_biasm2_scale1p25to0_s250_250_seed5_1500_20260611.txt
count-sketch softmax combine-mix + hash seed 1,300,5,0,500,7.238200,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_softmax_dimsigns_balanced_base_aux05_seed5_1500_20260611.txt
count-sketch softmax combine-mix + hash seed 1 aux0.25,300,5,0,250,8.513400,30182422,384,11590050048,bf300_hashseed1_sketchk2_combinemix_softmax_dimsigns_balanced_base_aux025_seed5_1500_20260611.txt
count-sketch sum,300,5,0,500,7.238500,30182422,384,11590050048,bf300_readoutdelta_sketchk2_dimsigns_balanced_base_aux05_seed5_1500_20260610.txt
current-code control,300,5,1,1500,3.246600,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_control_currentcode_seed5_1500_20260610.txt
hash seed 1,300,5,0,250,8.513900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed1_seed5_1500_20260611.txt
hash seed 1,300,5,0,750,5.352000,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_hashseed1_seed5_1500_20260610.txt
