family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
scheduled inverse FAL,400,5,0,750,5.356800,40243242,384,15453404928,bf400_sota_k2_headmix_ifal_sched1to0_500_250_seed5_1500_20260610.txt
shared relative layer hash,300,5,0,1000,3.500700,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_layerhash0_seed5_1500_20260610.txt
shared relative layer hash,400,5,0,750,5.349800,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_layerhash0_seed5_1500_20260610.txt
slot-attn,300,5,0,750,5.355100,30182422,384,11590050048,bf300_sketchk2_slotattention_base_aux05_norowsigns_seed5_1500_20260610.txt
slot-attn + layer readouts,300,5,0,250,8.514800,30182422,384,11590050048,bf300_sketchk2_slotattention_layerreadouts_base_aux05_norowsigns_seed5_1500_20260610.txt
slot-mix,300,5,1,1500,3.245800,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_base_aux05_norowsigns_seed5_1500_20260610b.txt
slot-mix,300,6,0,500,7.234500,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_base_aux05_norowsigns_seed6_1500_20260610.txt
slot-mix,400,5,0,750,5.350500,40243242,384,15453404928,bf400_sketchk2_slotreadout_slotmix_base_aux05_norowsigns_seed5_1500_20260610.txt
slot-mix + layer readouts,300,5,0,1000,3.502400,30182422,384,11590050048,bf300_sketchk2_slotreadout_slotmix_layerreadouts_base_aux05_norowsigns_seed5_1500_20260610.txt
slot-mix aux decay,400,5,0,1000,3.502900,40243242,384,15453404928,bf400_sketchk2_slotreadout_slotmix_aux05to01_s500_500_norowsigns_seed5_1500_20260610.txt
slot-mix aux to zero,300,5,1,1500,3.245900,30182422,384,11590050048,bf300_slotreadout_slotmix_aux05to025_s1000_250_norowsigns_seed5_1500_20260610.txt
slot-mix aux to zero,300,5,0,1250,3.354100,30182422,384,11590050048,bf300_slotreadout_slotmix_aux05to0_s1000_250_norowsigns_seed5_1500_20260610.txt
slot-mix aux to zero,300,5,0,1000,3.511900,30182422,384,11590050048,bf300_slotreadout_slotmix_aux05to0_s500_500_norowsigns_seed5_1500_20260610.txt
slot-mix aux to zero,300,5,0,1250,3.353800,30182422,384,11590050048,bf300_slotreadout_slotmix_aux05to0_s750_500_norowsigns_seed5_1500_20260610.txt
slot-mix aux to zero,400,5,0,1000,3.506200,40243242,384,15453404928,bf400_sketchk2_slotreadout_slotmix_aux05to0_s500_500_norowsigns_seed5_1500_20260610.txt
two layer partition groups,300,5,0,500,7.239600,30182492,384,11590076928,bf300_sota_k2_headmix_norowsigns_partgrp2_seed5_1500_20260610.txt
two layer partition groups,400,5,0,750,5.356100,40243246,384,15453406464,bf400_sota_k2_headmix_norowsigns_partgrp2_seed5_1500_20260610.txt
two partition groups + hash seed 1,400,5,0,500,7.272700,40243246,384,15453406464,bf400_sota_k2_headmix_norowsigns_partgrp2_hashseed1_seed5_1500_20260610.txt
