target,readout,rows,dim,key_dim,steps,batch_size,zipf,noise,method,final_mse,final_seen_mse,final_rare_mse,final_one_hit_mse,hit_frac,mean_hits_seen,row_rms,first_write_mse,grad_rms_mean,update_rms_mean,update_grad_ratio
mixed,mlp,2048,64,16,120,1024,1.05,0.03,sgd,0.20485630631446838,0.2047927975654602,0.3958004117012024,0.4343738257884979,0.99951171875,60.02931213378906,0.053909383714199066,0.4738896540233067,0.0017577705989727595,0.007031082395891038,4.0
mixed,mlp,2048,64,16,120,1024,1.05,0.03,adam,0.14694316685199738,0.14685136079788208,0.26819899678230286,0.34217557311058044,0.99951171875,60.02931213378906,0.19144287705421448,0.3698838261621339,0.0016973512056817222,0.013430386742887398,7.912556162761397
mixed,mlp,2048,64,16,120,1024,1.05,0.03,normwrite,0.018087003380060196,0.017932245507836342,0.0867491066455841,0.4328201711177826,0.99951171875,60.02931213378906,0.027347851544618607,0.47225664513451715,0.0017306467329035514,0.004646627758241569,2.6849082888486433
mixed,mlp,2048,64,16,120,1024,1.05,0.03,gdn,0.10637575387954712,0.10626411437988281,0.30669277906417847,0.43453648686408997,0.99951171875,60.02931213378906,0.019277360290288925,0.4740533309323447,0.000427298631954424,0.002562187798563779,5.99624620103409
mixed,mlp,2048,64,16,120,1024,1.05,0.03,gdn_recovered,0.018087079748511314,0.01793232001364231,0.0867491364479065,0.43282023072242737,0.99951171875,60.02931213378906,0.006836882326751947,0.47225583365985324,0.0011191059360498913,0.0030660591214351977,2.739739842911984
mixed,mlp,2048,64,16,120,1024,1.05,0.03,gdn_oracle,0.018087079748511314,0.01793232001364231,0.0867491364479065,0.4328201711177826,0.99951171875,60.02931213378906,0.006836882326751947,0.47225583919457026,0.001119105939202806,0.003066059112218985,2.7397398269578384
mixed,mlp,8192,64,16,120,1024,1.05,0.03,sgd,0.3965493142604828,0.4015370309352875,0.480295866727829,0.5281997323036194,0.8948974609375,16.76169776916504,0.04901779815554619,0.5216631879409154,0.004617753928566041,0.018471015714264166,4.0
mixed,mlp,8192,64,16,120,1024,1.05,0.03,adam,0.2781228721141815,0.2692018449306488,0.32379695773124695,0.38379615545272827,0.8948974609375,16.76169776916504,0.10608974099159241,0.3804148696362972,0.004612541925356103,0.022265961199688416,4.827264783716717
mixed,mlp,8192,64,16,120,1024,1.05,0.03,normwrite,0.18031032383441925,0.15990155935287476,0.23788832128047943,0.5263733863830566,0.8948974609375,16.76169776916504,0.022211583331227303,0.5198606746892135,0.00462563061058366,0.008675583467508356,1.8755461034130596
mixed,mlp,8192,64,16,120,1024,1.05,0.03,gdn,0.3283447027206421,0.3253220319747925,0.4282609820365906,0.528367280960083,0.8948974609375,16.76169776916504,0.0171932652592659,0.5218295566737652,0.001153068381245248,0.006369446602184326,5.523910555335571
mixed,mlp,8192,64,16,120,1024,1.05,0.03,gdn_recovered,0.18031036853790283,0.15990158915519714,0.23788835108280182,0.5263733863830566,0.8948974609375,16.76169776916504,0.005552869755774736,0.5198603287339211,0.0031441521578623602,0.005980468921673795,1.9020927173383948
mixed,mlp,8192,64,16,120,1024,1.05,0.03,gdn_oracle,0.18031036853790283,0.15990158915519714,0.23788835108280182,0.5263733863830566,0.8948974609375,16.76169776916504,0.005552869755774736,0.519860331962506,0.003144152127788402,0.005980468941076348,1.9020927417029951
