row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2
1246330,181,2.2600713879850747,0.7705301,0.919517,-1.4219021,-1.5218977,-0.55717266
1246783,81,1.9138138523837167,0.51702636,0.7740343,-1.5707746,-0.80583864,0.916166
1246790,11,1.0791812460476249,0.22975902,0.9299569,0.22293878,-1.1773648,-1.704558
1247423,17,1.255272505103306,0.26483992,0.37497097,-0.06516473,0.8057258,-1.6765792
1247509,46,1.6720978579357175,0.43236995,-0.66023433,-0.7768806,1.2219776,1.9868827
1247754,29548,4.470542788031808,1.9101328,1.0058302,3.9803758,-0.47611326,-0.34896335
1248128,97,1.9912260756924949,0.56286144,-2.3427775,-0.40167305,3.223294,-1.0922917
1248705,27,1.4471580313422192,0.29753476,0.52927756,-0.7521996,-1.0536987,2.521077
1249070,33,1.5314789170422551,0.30750433,0.091243476,-0.022518957,5.283315,-0.09058015
1249210,46,1.6720978579357175,0.37870744,0.28007233,-1.0277089,1.3778434,1.0499771
1249363,94,1.9777236052888478,0.53929406,-1.4455352,1.2733521,0.30387852,-4.558699
1249882,16803,4.2254126728659545,1.92847,-2.4887037,7.4035563,-1.969883,-4.3770714
1250226,19768,4.295984701409477,1.8824128,-5.3556194,2.41995,2.0942225,-0.3919421
1251233,15947,4.202706226990357,1.8879994,-7.039296,1.752102,1.5913965,-0.5032291
1251518,69,1.845098040014257,0.434902,0.22772346,0.5735982,1.6062183,-1.4783168
1252284,44,1.6532125137753437,0.46453443,1.4802115,-0.86360097,-2.5925353,3.2526782
1252748,52,1.724275869600789,0.44921312,0.677861,0.63478005,-2.0752456,-1.3876266
1252940,14232,4.153296449355305,1.8957915,0.16935417,4.370313,0.089659505,-1.0581754
1253691,27,1.4471580313422192,0.32008386,0.77912796,-0.16624859,-1.136173,0.48130178
1253734,697,2.843855422623161,1.310361,-0.085318305,-1.868085,0.8935836,0.07944514
1253737,14005,4.146314122011972,1.8730416,-2.5389934,5.4365954,-2.2685587,-3.9359717
1253943,480523,5.681715083590972,1.6930923,5.554265,6.368282,-1.4002297,0.18408944
1255119,63635,4.803702873166188,1.818684,2.885795,5.5090356,0.4856566,-0.75486636
1255221,24436,4.388047888828436,1.8396673,2.9259956,-2.0168014,-1.3828238,2.5290983
1255258,27,1.4471580313422192,0.25979367,0.25345823,0.78891236,-1.3066099,-5.2618217
1255931,378,2.578639209968072,0.924131,1.3553267,2.2000244,-0.89069784,-1.1460156
1256030,42,1.6334684555795864,0.35245857,0.9229869,-0.87721604,0.154621,0.8108535
1256137,53,1.7323937598229686,0.30377018,-0.3589412,0.23564626,2.0767536,-1.8539579
1256269,8,0.9542425094393249,0.17705348,-0.6433578,-0.3861878,3.2079911,-0.79129404
1256422,2957,3.4709981696608736,1.7565336,2.571481,2.4402037,-0.37700263,-0.4018228
1256449,169,2.230448921378274,0.71953005,2.9550753,-1.3984662,-5.195958,2.7665515
1256560,121,2.0863598306747484,0.6519411,1.1668301,-0.16856134,-2.120928,-0.8666691
1256857,17768,4.2496629873606055,1.8734254,3.5120862,0.28154796,-1.0164088,1.1372199
1257059,14,1.1760912590556813,0.26243225,0.3267631,-0.71898115,0.24498875,1.9964272
1257153,23415,4.369512709425735,1.8659769,2.343306,5.1370454,0.86545074,-1.1693257
1257306,38,1.591064607026499,0.2906755,0.36892217,-0.09064932,-1.9522612,-1.0301621
1257454,132,2.123851640967086,0.65687245,0.23865747,-1.7861626,-1.6315284,-0.6107815
1257619,26,1.4313637641589874,0.27072597,-0.12630844,-0.5521184,3.425209,1.414392
1258050,75136,4.875853850968841,1.7724938,1.178865,3.8707523,0.47115675,0.08857046
1258291,16,1.2304489213782739,0.21643242,0.42278692,-0.4187693,1.1490508,1.1583275
1258295,17,1.255272505103306,0.29582113,0.18581004,-0.5085724,0.79505324,-0.5483818
1258755,66,1.8260748027008264,0.39537147,0.5627932,0.1931849,0.45703107,-0.6068025
1259574,30327,4.4818437714183785,1.7335045,3.703065,3.987462,-0.3361894,-0.391663
1259602,452,2.656098202012832,1.0943227,-0.43436408,1.458296,0.06263615,-3.5239255
1260024,15712,4.196259110505376,1.7925358,-5.268074,4.860447,-3.168452,-3.494681
1260303,13979,4.145507171409663,1.7731348,0.48991022,-1.5321344,-0.551165,0.44388023
1260365,13626,4.134400255918984,1.9086573,1.081537,0.8290855,0.46565327,0.009953794
1260688,92,1.968482948553935,0.53576034,1.0171835,-1.7217989,-1.2840716,2.6848624
1260807,5,0.7781512503836436,0.19833136,0.69195104,-0.8743999,-3.288186,2.035298
