target,readout,rows,dim,key_dim,steps,batch_size,zipf,noise,method,final_mse,final_seen_mse,final_rare_mse,final_one_hit_mse,hit_frac,mean_hits_seen,row_rms,first_write_mse,grad_rms_mean,update_rms_mean,update_grad_ratio
mixed,mlp,2048,64,16,120,1024,1.05,0.03,sgd,0.20824378728866577,0.20824378728866577,0.41060420870780945,0.44123706221580505,1.0,60.0,0.052778538316488266,0.49380882969800977,0.0017093311248269553,0.006837324499307821,4.0
mixed,mlp,2048,64,16,120,1024,1.05,0.03,adam,0.14881077408790588,0.14881077408790588,0.2810437083244324,0.32528388500213623,1.0,60.0,0.19401881098747253,0.3833557144887205,0.001646650246372398,0.013484809858103594,8.18923744602771
mixed,mlp,2048,64,16,120,1024,1.05,0.03,normwrite,0.016515113413333893,0.016515113413333893,0.08179870247840881,0.4395660161972046,1.0,60.0,0.02720748446881771,0.4921233852704366,0.0016789683568276814,0.004561031756262916,2.71656802685712
mixed,mlp,2048,64,16,120,1024,1.05,0.03,gdn,0.11256036162376404,0.11256036162376404,0.32995060086250305,0.44135093688964844,1.0,60.0,0.01924438402056694,0.4939902424812317,0.0004148991805474604,0.0025327069876463306,6.104391395288895
mixed,mlp,2048,64,16,120,1024,1.05,0.03,gdn_oracle,0.016515005379915237,0.016515005379915237,0.08179885149002075,0.4395659267902374,1.0,60.0,0.006801784038543701,0.4921222536460213,0.001083671278320253,0.003010938033791414,2.778460677170041
mixed,mlp,8192,64,16,120,1024,1.05,0.03,sgd,0.33998575806617737,0.339938223361969,0.40989890694618225,0.4499020576477051,0.895263671875,16.754840850830078,0.045547086745500565,0.4498861774802208,0.004256588263281931,0.017026353053127725,4.0
mixed,mlp,8192,64,16,120,1024,1.05,0.03,adam,0.24992194771766663,0.23933787643909454,0.28809797763824463,0.34073081612586975,0.895263671875,16.754840850830078,0.1053285077214241,0.33845742245515187,0.004251071164617315,0.02210294210817665,5.19938181513985
mixed,mlp,8192,64,16,120,1024,1.05,0.03,normwrite,0.1603999137878418,0.13934271037578583,0.2073240578174591,0.44834333658218384,0.895263671875,16.754840850830078,0.021864399313926697,0.44833569824695585,0.0042635528884905705,0.008478148246649653,1.9885171987748416
mixed,mlp,8192,64,16,120,1024,1.05,0.03,gdn,0.28943145275115967,0.283469557762146,0.37048599123954773,0.45008575916290283,0.895263671875,16.754840850830078,0.017077410593628883,0.4500732118884722,0.0010627133604430127,0.006279506501353656,5.908937193314218
mixed,mlp,8192,64,16,120,1024,1.05,0.03,gdn_oracle,0.16040003299713135,0.13934285938739777,0.20732420682907104,0.44834333658218384,0.895263671875,16.754840850830078,0.005466071888804436,0.44833515733480456,0.002907338587586613,0.005850454501342028,2.0123058684398027
