rank,absolute_row,training_hit_count,bucket_ngram,bucket_hash_head,scan_count,top_example
173,23555469,598631,2,4,0,""
174,18575682,598628,2,3,0,""
175,1805655,598623,2,0,3,"head ("
176,6785728,598622,2,1,0,""
177,11765791,598615,2,2,0,""
178,8615706,598615,2,1,0,""
179,16745848,598615,2,3,0,""
180,28535550,598613,2,5,4," tough on"
181,28468226,487297,2,5,0,""
182,4455160,487136,2,0,0,""
183,24375408,486945,2,4,1,"against the"
184,19395383,486934,2,3,0,""
185,23488113,486907,2,4,0,""
186,18508190,486881,2,3,0,""
187,29355545,486881,2,5,2," for Modest"
188,3568057,486867,2,0,0,""
189,14415312,486865,2,2,0,""
190,9435239,486864,2,1,0,""
191,8548118,486862,2,1,0,""
192,13528161,486861,2,2,0,""
193,20280057,468929,2,4,1," Art &"
194,359681,468721,2,0,0,""
195,20258969,468656,2,4,0,""
196,15299964,468630,2,3,0,""
197,15279148,468614,2,3,0,""
198,10299161,468614,2,2,16," fit the"
199,339105,468608,2,0,4," and 23"
200,25239058,468601,2,5,0,""
