head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
9,3,3,4332473,49153800,134,0.94235641,12760.51074219,.\n-
0,2,0,359681,359681,292,0.82124257,12703.23632812,  but
4,2,4,1526097,21446537,254,0.89658630,12672.76660156,  a
8,3,2,2725651,42566787,357,0.85913950,12648.64160156,.\nThe
11,3,5,2122089,56903820,170,0.83386976,12595.87695312,’T
4,2,4,2708085,22628525,564,0.71387649,12566.29785156,\nThe
7,3,1,2888172,37749121,123,0.92890739,12546.52343750,.”
11,3,5,2887934,57669665,123,0.95693165,12461.38183594,.”
5,2,5,224902,25125503,170,0.70783383,12370.65332031,�T
0,2,0,225262,225262,170,0.74770063,12348.63281250,�T
6,3,0,2888228,32768998,123,0.93718010,12347.05273438,.”
9,3,3,2725639,47546966,357,0.86997467,12268.35253906,.\nThe
2,2,2,179691,10139891,595,0.51641423,12267.22460938,�s
4,2,4,179451,20099891,595,0.51969182,12243.27832031,�s
6,3,0,2122089,32002859,170,0.82135999,12207.32617188,’T
10,3,4,2888004,52689524,123,0.94016814,12193.97656250,.”
7,3,1,4686124,39547073,134,0.90658987,12180.65625000,.\n-
4,2,4,2743597,22664037,127,0.92803651,11995.99121094,.�
2,2,2,577151,10537351,183,0.95785522,11968.27050781,?\n
1,2,1,3280216,8260313,185,0.86182505,11954.33007812, as a
0,2,0,577215,577215,183,0.96170539,11876.74707031,?\n
2,2,2,3513823,13474023,170,0.78535634,11876.69824219,�T
7,3,1,2122089,36983038,170,0.79945803,11864.35253906,’T
4,2,4,576959,20497399,183,0.96215719,11845.25976562,?\n
0,2,0,179771,179771,595,0.49179313,11796.12988281,�s
5,2,5,4109422,29010023,111,0.90748203,11769.25878906,\nI
1,2,1,577191,5557288,183,0.95978916,11700.96191406,?\n
4,2,4,4109446,24029886,111,0.91400582,11659.27148438,\nI
0,2,0,3298199,3298199,143,0.91583616,11637.66406250,  it
10,3,4,991433,50792953,123,0.92313409,11626.43457031,.”
5,2,5,576927,25477528,183,0.96029449,11600.72851562,?\n
2,2,2,225182,10185382,170,0.66299611,11569.36132812,�T
1,2,1,3159240,8139337,88,0.86217934,11551.53222656, it�
