head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
13,3,5,125393,3396082,81,0.94645447,311.19778442,|\n|
14,3,6,125321,3647687,81,0.94645447,311.19778442,|\n|
15,3,7,125303,3899370,81,0.94645447,311.19778442,|\n|
10,3,2,125507,2641241,83,0.94527435,307.81781006,|\n|
8,3,0,125561,2138051,82,0.93610835,307.61825562,|\n|
11,3,3,125465,2892838,83,0.94563442,306.95745850,|\n|
9,3,1,72320,2336431,132,0.94351929,306.17459106,.\n-
10,3,2,72208,2587942,132,0.94351929,306.17459106,.\n-
15,3,7,71732,3845799,132,0.94351929,306.17459106,.\n-
8,3,0,72334,2084824,133,0.94357663,304.91119385,.\n-
12,3,4,125435,3144461,84,0.94426501,304.83981323,|\n|
13,3,5,71942,3342631,133,0.94344348,304.74166870,.\n-
14,3,6,71774,3594140,134,0.94254434,303.62438965,.\n-
11,3,3,72110,2839483,136,0.94314653,301.98721313,.\n-
10,3,2,173434,2689168,120,0.95581478,301.42868042,.\n"
11,3,3,173350,2940723,120,0.95581478,301.42868042,.\n"
14,3,6,173062,3695428,120,0.95581478,301.42868042,.\n"
15,3,7,173026,3947093,120,0.95581478,301.42868042,.\n"
9,3,1,125555,2389666,86,0.94259375,300.27127075,|\n|
12,3,4,72040,3091066,137,0.93825281,299.31304932,.\n-
13,3,5,173206,3443895,122,0.95455533,298.42678833,.\n"
12,3,4,173290,3192316,122,0.95460302,298.38122559,.\n"
9,3,1,173530,2437641,123,0.95432740,297.79885864, "Employee
8,3,0,173542,2186032,122,0.94818586,297.39926147,.\n"
10,3,2,228746,2744480,70,0.95679998,291.23251343,.\n�
11,3,3,228522,2995895,70,0.95679998,291.23251343,.\n�
0,2,0,149277,149277,154,0.95632142,290.49679565,\n"
12,3,4,228362,3247388,71,0.95553565,289.00924683,.\n�
9,3,1,229002,2493113,71,0.95569462,288.94873047,.\n�
3,2,3,149181,903780,155,0.94852149,288.46087646,\n"
0,2,0,236335,236335,164,0.94861484,287.82122803,\n|
1,2,1,236323,487850,164,0.94861484,287.82122803,\n|
3,2,3,236303,990902,164,0.94861484,287.82122803,\n|
4,2,4,236267,1242409,164,0.94861484,287.82122803,\n|
6,2,6,236171,1745441,164,0.94861484,287.82122803,\n|
7,2,7,236167,1997046,164,0.94861484,287.82122803,\n|
13,3,5,228138,3498827,71,0.94553709,287.45083618,.\n�
15,3,7,227658,4001725,71,0.94581228,287.40441895,.\n�
14,3,6,227754,3750120,71,0.94464797,287.30120850,.\n�
8,3,0,229034,2241524,72,0.94673157,286.65646362,.\n�
