[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_l2_ga8_state3072_20260512_165307.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_token_engram_gate_l2_ga8_state3072_20260512_165307 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=128 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9377 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:742ms step_avg:742.10ms
step:2/1480 train_time:1469ms step_avg:734.65ms
step:3/1480 train_time:2188ms step_avg:729.28ms
step:4/1480 train_time:2915ms step_avg:728.67ms
step:5/1480 train_time:3633ms step_avg:726.68ms
step:6/1480 train_time:4358ms step_avg:726.38ms
step:7/1480 train_time:5075ms step_avg:725.05ms
step:8/1480 train_time:5800ms step_avg:725.03ms
step:9/1480 train_time:6518ms step_avg:724.24ms
step:10/1480 train_time:7247ms step_avg:724.69ms
step:11/1480 train_time:7965ms step_avg:724.13ms
step:12/1480 train_time:8691ms step_avg:724.27ms
step:13/1480 train_time:9409ms step_avg:723.79ms
step:14/1480 train_time:10135ms step_avg:723.89ms
step:15/1480 train_time:10852ms step_avg:723.48ms
step:16/1480 train_time:11578ms step_avg:723.62ms
step:17/1480 train_time:12297ms step_avg:723.34ms
step:18/1480 train_time:13023ms step_avg:723.49ms
step:19/1480 train_time:13741ms step_avg:723.21ms
step:20/1480 train_time:14467ms step_avg:723.36ms
step:21/1480 train_time:15185ms step_avg:723.11ms
step:22/1480 train_time:15911ms step_avg:723.25ms
step:23/1480 train_time:16630ms step_avg:723.06ms
step:24/1480 train_time:17355ms step_avg:723.14ms
step:25/1480 train_time:18073ms step_avg:722.93ms
step:26/1480 train_time:18798ms step_avg:723.02ms
step:27/1480 train_time:19517ms step_avg:722.85ms
step:28/1480 train_time:20244ms step_avg:722.98ms
step:29/1480 train_time:20962ms step_avg:722.83ms
step:30/1480 train_time:21688ms step_avg:722.94ms
step:31/1480 train_time:22407ms step_avg:722.80ms
step:32/1480 train_time:23133ms step_avg:722.90ms
step:33/1480 train_time:23852ms step_avg:722.78ms
step:34/1480 train_time:24578ms step_avg:722.87ms
step:35/1480 train_time:25295ms step_avg:722.71ms
step:36/1480 train_time:26020ms step_avg:722.78ms
step:37/1480 train_time:26737ms step_avg:722.63ms
step:38/1480 train_time:27462ms step_avg:722.70ms
step:39/1480 train_time:28180ms step_avg:722.56ms
step:40/1480 train_time:28905ms step_avg:722.62ms
step:41/1480 train_time:29622ms step_avg:722.49ms
step:42/1480 train_time:30347ms step_avg:722.55ms
step:43/1480 train_time:31064ms step_avg:722.42ms
step:44/1480 train_time:31789ms step_avg:722.48ms
step:45/1480 train_time:32506ms step_avg:722.36ms
step:46/1480 train_time:33231ms step_avg:722.41ms
step:47/1480 train_time:33948ms step_avg:722.30ms
step:48/1480 train_time:34673ms step_avg:722.36ms
step:49/1480 train_time:35390ms step_avg:722.25ms
step:50/1480 train_time:36115ms step_avg:722.31ms
step:51/1480 train_time:36833ms step_avg:722.21ms
step:52/1480 train_time:37558ms step_avg:722.27ms
step:53/1480 train_time:38276ms step_avg:722.19ms
step:54/1480 train_time:39001ms step_avg:722.24ms
step:55/1480 train_time:39719ms step_avg:722.16ms
step:56/1480 train_time:40444ms step_avg:722.21ms
step:57/1480 train_time:41160ms step_avg:722.11ms
step:58/1480 train_time:41885ms step_avg:722.16ms
