[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_bigram5_fused_mlp_blackwell_sm120_20260511_222749.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_bigram5_fused_mlp_blackwell_sm120_20260511_222749 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9383 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:552ms step_avg:551.77ms
step:2/1480 train_time:1122ms step_avg:561.20ms
step:3/1480 train_time:1696ms step_avg:565.42ms
step:4/1480 train_time:2267ms step_avg:566.66ms
step:5/1480 train_time:2840ms step_avg:568.07ms
step:6/1480 train_time:3411ms step_avg:568.50ms
step:7/1480 train_time:3985ms step_avg:569.26ms
step:8/1480 train_time:4556ms step_avg:569.47ms
step:9/1480 train_time:5130ms step_avg:569.98ms
step:10/1480 train_time:5701ms step_avg:570.08ms
step:11/1480 train_time:6275ms step_avg:570.45ms
step:12/1480 train_time:6846ms step_avg:570.49ms
step:13/1480 train_time:7420ms step_avg:570.78ms
step:14/1480 train_time:7991ms step_avg:570.79ms
step:15/1480 train_time:8565ms step_avg:571.01ms
step:16/1480 train_time:9136ms step_avg:571.00ms
step:17/1480 train_time:9710ms step_avg:571.19ms
step:18/1480 train_time:10282ms step_avg:571.20ms
step:19/1480 train_time:10856ms step_avg:571.35ms
step:20/1480 train_time:11427ms step_avg:571.34ms
step:21/1480 train_time:12001ms step_avg:571.48ms
step:22/1480 train_time:12572ms step_avg:571.46ms
step:23/1480 train_time:13146ms step_avg:571.57ms
step:24/1480 train_time:13717ms step_avg:571.54ms
step:25/1480 train_time:14291ms step_avg:571.64ms
step:26/1480 train_time:14862ms step_avg:571.61ms
step:27/1480 train_time:15436ms step_avg:571.70ms
step:28/1480 train_time:16007ms step_avg:571.68ms
step:29/1480 train_time:16581ms step_avg:571.75ms
step:30/1480 train_time:17151ms step_avg:571.72ms
step:31/1480 train_time:17726ms step_avg:571.79ms
step:32/1480 train_time:18296ms step_avg:571.76ms
step:33/1480 train_time:18871ms step_avg:571.84ms
step:34/1480 train_time:19442ms step_avg:571.82ms
step:35/1480 train_time:20016ms step_avg:571.87ms
step:36/1480 train_time:20587ms step_avg:571.85ms
step:37/1480 train_time:21160ms step_avg:571.90ms
step:38/1480 train_time:21731ms step_avg:571.88ms
step:39/1480 train_time:22305ms step_avg:571.93ms
step:40/1480 train_time:22876ms step_avg:571.90ms
step:41/1480 train_time:23450ms step_avg:571.95ms
step:42/1480 train_time:24021ms step_avg:571.92ms
step:43/1480 train_time:24595ms step_avg:571.97ms
step:44/1480 train_time:25166ms step_avg:571.95ms
