[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim768_h8_ng3_500_ckpt_20260513_015058.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim768_h8_ng3_500_ckpt_20260513_015058 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=768 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9369 train_time:0ms step_avg:0.04ms
step:1/500 train_time:555ms step_avg:554.52ms
step:2/500 train_time:1131ms step_avg:565.62ms
step:3/500 train_time:1711ms step_avg:570.38ms
step:4/500 train_time:2288ms step_avg:572.00ms
step:5/500 train_time:2868ms step_avg:573.53ms
step:6/500 train_time:3444ms step_avg:574.06ms
step:7/500 train_time:4025ms step_avg:574.93ms
step:8/500 train_time:4601ms step_avg:575.16ms
step:9/500 train_time:5182ms step_avg:575.73ms
step:10/500 train_time:5759ms step_avg:575.87ms
step:11/500 train_time:6339ms step_avg:576.29ms
step:12/500 train_time:6916ms step_avg:576.35ms
step:13/500 train_time:7497ms step_avg:576.67ms
step:14/500 train_time:8074ms step_avg:576.70ms
step:15/500 train_time:8654ms step_avg:576.95ms
step:16/500 train_time:9231ms step_avg:576.96ms
step:17/500 train_time:9812ms step_avg:577.18ms
step:18/500 train_time:10389ms step_avg:577.18ms
step:19/500 train_time:10970ms step_avg:577.35ms
step:20/500 train_time:11547ms step_avg:577.34ms
step:21/500 train_time:12127ms step_avg:577.49ms
step:22/500 train_time:12704ms step_avg:577.47ms
step:23/500 train_time:13285ms step_avg:577.59ms
step:24/500 train_time:13862ms step_avg:577.57ms
step:25/500 train_time:14442ms step_avg:577.68ms
step:26/500 train_time:15019ms step_avg:577.65ms
step:27/500 train_time:15599ms step_avg:577.75ms
step:28/500 train_time:16176ms step_avg:577.73ms
step:29/500 train_time:16757ms step_avg:577.82ms
step:30/500 train_time:17334ms step_avg:577.79ms
step:31/500 train_time:17914ms step_avg:577.86ms
step:32/500 train_time:18491ms step_avg:577.85ms
step:33/500 train_time:19071ms step_avg:577.92ms
step:34/500 train_time:19648ms step_avg:577.88ms
step:35/500 train_time:20228ms step_avg:577.95ms
step:36/500 train_time:20805ms step_avg:577.93ms
step:37/500 train_time:21386ms step_avg:577.99ms
step:38/500 train_time:21963ms step_avg:577.96ms
step:39/500 train_time:22543ms step_avg:578.02ms
step:40/500 train_time:23120ms step_avg:578.00ms
step:41/500 train_time:23700ms step_avg:578.06ms
step:42/500 train_time:24277ms step_avg:578.02ms
step:43/500 train_time:24857ms step_avg:578.07ms
step:44/500 train_time:25434ms step_avg:578.04ms
step:45/500 train_time:26014ms step_avg:578.09ms
step:46/500 train_time:26591ms step_avg:578.06ms
step:47/500 train_time:27171ms step_avg:578.11ms
step:48/500 train_time:27748ms step_avg:578.08ms
step:49/500 train_time:28328ms step_avg:578.12ms
step:50/500 train_time:28905ms step_avg:578.10ms
step:51/500 train_time:29485ms step_avg:578.13ms
step:52/500 train_time:30062ms step_avg:578.11ms
step:53/500 train_time:30642ms step_avg:578.15ms
step:54/500 train_time:31219ms step_avg:578.12ms
step:55/500 train_time:31799ms step_avg:578.16ms
step:56/500 train_time:32375ms step_avg:578.13ms
step:57/500 train_time:32955ms step_avg:578.16ms
step:58/500 train_time:33532ms step_avg:578.14ms
step:59/500 train_time:34112ms step_avg:578.18ms
step:60/500 train_time:34689ms step_avg:578.16ms
step:61/500 train_time:35270ms step_avg:578.19ms
step:62/500 train_time:35846ms step_avg:578.17ms
step:63/500 train_time:36426ms step_avg:578.19ms
step:64/500 train_time:37003ms step_avg:578.17ms
step:65/500 train_time:37583ms step_avg:578.20ms
step:66/500 train_time:38160ms step_avg:578.18ms
step:67/500 train_time:38740ms step_avg:578.20ms
step:68/500 train_time:39316ms step_avg:578.18ms
step:69/500 train_time:39896ms step_avg:578.21ms
step:70/500 train_time:40473ms step_avg:578.19ms
step:71/500 train_time:41053ms step_avg:578.21ms
step:72/500 train_time:41630ms step_avg:578.19ms
step:73/500 train_time:42210ms step_avg:578.22ms
step:74/500 train_time:42786ms step_avg:578.20ms
step:75/500 train_time:43367ms step_avg:578.22ms
step:76/500 train_time:43943ms step_avg:578.20ms
step:77/500 train_time:44523ms step_avg:578.22ms
step:78/500 train_time:45100ms step_avg:578.21ms
