head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
10,3,2,228746,2744480,70,0.95502788,253.88291931,.\n�
11,3,3,228522,2995895,70,0.95502788,253.88291931,.\n�
12,3,4,228362,3247388,71,0.95354825,251.67349243,.\n�
9,3,1,229002,2493113,71,0.95256257,251.52322388,.\n�
15,3,7,227658,4001725,71,0.94657511,250.78001404,.\n�
14,3,6,227754,3750120,71,0.94568646,250.70359802,.\n�
13,3,5,228138,3498827,71,0.94419581,250.55592346,.\n�
8,3,0,229034,2241524,72,0.95374036,249.98431396,.\n�
13,3,5,125393,3396082,81,0.96044976,238.72486877,|\n|
14,3,6,125321,3647687,81,0.96044976,238.72486877,|\n|
15,3,7,125303,3899370,81,0.96044976,238.72486877,|\n|
8,3,0,125561,2138051,82,0.95763361,236.68469238,|\n|
10,3,2,125507,2641241,83,0.95644009,235.49331665,|\n|
11,3,3,125465,2892838,83,0.94002461,233.28845215,|\n|
12,3,4,125435,3144461,84,0.94784516,232.84223938,|\n|
10,3,2,173434,2689168,120,0.96947825,232.65408325,.\n"
11,3,3,173350,2940723,120,0.96947825,232.65408325,.\n"
14,3,6,173062,3695428,120,0.96947825,232.65408325,.\n"
15,3,7,173026,3947093,120,0.96947825,232.65408325,.\n"
13,3,5,173206,3443895,122,0.96669066,230.54400635,.\n"
9,3,1,173530,2437641,123,0.96849406,230.46780396, "Employee
9,3,1,125555,2389666,86,0.95657688,230.36100769,|\n|
12,3,4,173290,3192316,122,0.96604633,230.06088257,.\n"
8,3,0,173542,2186032,122,0.95786262,229.23188782,.\n"
0,2,0,236335,236335,164,0.96075624,225.03324890,\n|
1,2,1,236323,487850,164,0.96075624,225.03324890,\n|
3,2,3,236303,990902,164,0.96075624,225.03324890,\n|
4,2,4,236267,1242409,164,0.96075624,225.03324890,\n|
6,2,6,236171,1745441,164,0.96075624,225.03324890,\n|
7,2,7,236167,1997046,164,0.96075624,225.03324890,\n|
0,2,0,149277,149277,154,0.96599036,224.84934998,\n"
5,2,5,236255,1493958,165,0.95573932,223.75366211,\n|
3,2,3,149181,903780,155,0.95827246,223.34861755,\n"
2,2,2,236311,739371,167,0.95890331,222.68759155,\n|
9,3,1,12258,2276369,57,0.94885743,205.19744873, as well as
12,3,4,11778,3030804,57,0.94885743,205.19744873, as well as
13,3,5,11610,3282299,57,0.94885743,205.19744873, as well as
14,3,6,11322,3533688,57,0.94885743,205.19744873, as well as
15,3,7,11250,3785317,57,0.94885743,205.19744873, as well as
9,3,1,72320,2336431,132,0.96936142,204.87936401,.\n-
