[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim768_h8_ng3_500_20260512_232905.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim768_h8_ng3_500_20260512_232905 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=768 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9387 train_time:0ms step_avg:0.03ms
step:1/500 train_time:553ms step_avg:552.68ms
step:2/500 train_time:1129ms step_avg:564.72ms
step:3/500 train_time:1710ms step_avg:569.88ms
step:4/500 train_time:2287ms step_avg:571.64ms
step:5/500 train_time:2871ms step_avg:574.12ms
step:6/500 train_time:3444ms step_avg:573.98ms
step:7/500 train_time:4024ms step_avg:574.89ms
step:8/500 train_time:4601ms step_avg:575.12ms
step:9/500 train_time:5181ms step_avg:575.69ms
step:10/500 train_time:5758ms step_avg:575.82ms
step:11/500 train_time:6339ms step_avg:576.23ms
step:12/500 train_time:6916ms step_avg:576.31ms
step:13/500 train_time:7496ms step_avg:576.63ms
step:14/500 train_time:8073ms step_avg:576.66ms
step:15/500 train_time:8654ms step_avg:576.91ms
step:16/500 train_time:9231ms step_avg:576.92ms
step:17/500 train_time:9811ms step_avg:577.13ms
step:18/500 train_time:10389ms step_avg:577.14ms
step:19/500 train_time:10969ms step_avg:577.32ms
step:20/500 train_time:11546ms step_avg:577.31ms
step:21/500 train_time:12127ms step_avg:577.46ms
step:22/500 train_time:12704ms step_avg:577.44ms
step:23/500 train_time:13284ms step_avg:577.58ms
step:24/500 train_time:13861ms step_avg:577.55ms
step:25/500 train_time:14442ms step_avg:577.67ms
step:26/500 train_time:15019ms step_avg:577.64ms
step:27/500 train_time:15599ms step_avg:577.74ms
step:28/500 train_time:16176ms step_avg:577.72ms
step:29/500 train_time:16757ms step_avg:577.81ms
step:30/500 train_time:17334ms step_avg:577.79ms
step:31/500 train_time:17914ms step_avg:577.87ms
step:32/500 train_time:18491ms step_avg:577.84ms
step:33/500 train_time:19071ms step_avg:577.92ms
step:34/500 train_time:19649ms step_avg:577.90ms
step:35/500 train_time:20229ms step_avg:577.96ms
step:36/500 train_time:20806ms step_avg:577.93ms
step:37/500 train_time:21386ms step_avg:578.00ms
step:38/500 train_time:21963ms step_avg:577.97ms
step:39/500 train_time:22543ms step_avg:578.03ms
step:40/500 train_time:23120ms step_avg:578.00ms
step:41/500 train_time:23700ms step_avg:578.05ms
step:42/500 train_time:24277ms step_avg:578.02ms
step:43/500 train_time:24857ms step_avg:578.07ms
step:44/500 train_time:25434ms step_avg:578.05ms
step:45/500 train_time:26014ms step_avg:578.09ms
step:46/500 train_time:26592ms step_avg:578.08ms
step:47/500 train_time:27172ms step_avg:578.12ms
step:48/500 train_time:27749ms step_avg:578.10ms
step:49/500 train_time:28329ms step_avg:578.14ms
step:50/500 train_time:28906ms step_avg:578.12ms
step:51/500 train_time:29486ms step_avg:578.16ms
step:52/500 train_time:30063ms step_avg:578.14ms
step:53/500 train_time:30644ms step_avg:578.19ms
step:54/500 train_time:31221ms step_avg:578.17ms
step:55/500 train_time:31801ms step_avg:578.21ms
step:56/500 train_time:32379ms step_avg:578.19ms
step:57/500 train_time:32958ms step_avg:578.22ms
step:58/500 train_time:33536ms step_avg:578.20ms
step:59/500 train_time:34116ms step_avg:578.24ms
step:60/500 train_time:34693ms step_avg:578.22ms
step:61/500 train_time:35274ms step_avg:578.26ms
step:62/500 train_time:35851ms step_avg:578.24ms
step:63/500 train_time:36431ms step_avg:578.27ms
step:64/500 train_time:37008ms step_avg:578.25ms
step:65/500 train_time:37588ms step_avg:578.28ms
step:66/500 train_time:38165ms step_avg:578.26ms
step:67/500 train_time:38745ms step_avg:578.28ms
step:68/500 train_time:39322ms step_avg:578.26ms
step:69/500 train_time:39902ms step_avg:578.29ms
step:70/500 train_time:40479ms step_avg:578.27ms
step:71/500 train_time:41059ms step_avg:578.30ms
step:72/500 train_time:41636ms step_avg:578.27ms
