head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
6,2,6,135485,1644755,164,0.91809297,64.67707062,\n|
0,2,0,136223,136223,164,0.92076123,63.02655792,\n|
12,3,4,47768,3066794,68,0.86519635,59.16113663, One of the
0,2,0,116001,116001,2821,0.88185197,59.04272461,.\n
8,3,0,52164,2064654,104,0.84727055,59.00811768, ”
11,3,3,231233,2998606,73,0.94107556,57.69020081, U.S
3,2,3,145067,899666,433,0.91591263,57.35684586,\n-
15,3,7,36275,3810342,89,0.88301218,57.30873108,\n“
15,3,7,229937,4004004,74,0.92178643,57.19168472, U.S
14,3,6,64277,3586643,81,0.87808597,56.96323395,|\n|
14,3,6,43208,3565574,68,0.88187265,56.76277542, One of the
4,2,4,135917,1142059,165,0.90697020,56.47276688,\n|
11,3,3,48968,2816341,68,0.84515429,56.11098862, One of the
1,2,1,136169,387696,168,0.90158188,56.00787735,\n|
9,3,1,231953,2496064,72,0.89991641,55.98945618, U.S
9,3,1,52568,2316679,69,0.88222110,55.97529602, One of the
13,3,5,190925,3461614,67,0.89278889,55.95516968,I’
4,2,4,113315,1119457,2821,0.84194905,55.60091782,.\n
13,3,5,23086,3293775,129,0.84611350,55.33256149,.”
15,3,7,64217,3838284,81,0.87757570,55.11224365,|\n|
12,3,4,230993,3250019,73,0.91704655,55.10887146, U.S
13,3,5,64517,3335206,82,0.87478328,54.83489609,|\n|
5,2,5,135863,1393566,167,0.92418426,54.73350906,\n|
10,3,2,193775,2709509,66,0.92007989,54.26358795,I’
9,3,1,43079,2307190,90,0.89995599,54.16778946,\n“
10,3,2,231569,2747303,74,0.90416831,53.44730377, U.S
9,3,1,228117,2492228,91,0.90550590,53.44007111, it’
15,3,7,42488,3816555,69,0.83122903,53.42982101, One of the
13,3,5,47516,3318205,106,0.85057980,53.17364502, ”
14,3,6,45524,3567890,101,0.88297009,53.13180542, ”
6,2,6,143879,1653149,432,0.91865349,53.02455139,\n-
14,3,6,233928,3756294,49,0.90152901,53.01354599,year-old
11,3,3,64757,2832130,81,0.88842273,52.87128830,|\n|
3,2,3,178107,932706,159,0.87996882,52.72219086,\n"
5,2,5,35177,1292880,161,0.87908357,52.30286789,  2013
4,2,4,209657,1215799,251,0.92044348,52.26934814, at the
4,2,4,140527,1146669,242,0.84971249,52.01018524,. I
10,3,2,41783,2557517,90,0.86991286,51.92575455,\n“
2,2,2,136115,639175,166,0.90334576,51.72324371,\n|
1,2,1,79757,331284,1213,0.92454547,51.55752563, of the
