[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam2_bf5_h6k4v16_500_20260512_203144.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam2_bf5_h6k4v16_500_20260512_203144 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=2.0 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9402 train_time:0ms step_avg:0.03ms
step:1/500 train_time:543ms step_avg:542.57ms
step:2/500 train_time:1147ms step_avg:573.27ms
step:3/500 train_time:1676ms step_avg:558.63ms
step:4/500 train_time:2280ms step_avg:569.91ms
step:5/500 train_time:2809ms step_avg:561.76ms
step:6/500 train_time:3413ms step_avg:568.77ms
step:7/500 train_time:3942ms step_avg:563.15ms
step:8/500 train_time:4546ms step_avg:568.23ms
step:9/500 train_time:5075ms step_avg:563.92ms
step:10/500 train_time:5679ms step_avg:567.93ms
step:11/500 train_time:6209ms step_avg:564.44ms
step:12/500 train_time:6813ms step_avg:567.75ms
step:13/500 train_time:7343ms step_avg:564.83ms
step:14/500 train_time:7947ms step_avg:567.62ms
step:15/500 train_time:8476ms step_avg:565.09ms
step:16/500 train_time:9080ms step_avg:567.52ms
step:17/500 train_time:9610ms step_avg:565.31ms
step:18/500 train_time:10214ms step_avg:567.46ms
step:19/500 train_time:10744ms step_avg:565.48ms
step:20/500 train_time:11348ms step_avg:567.40ms
step:21/500 train_time:11877ms step_avg:565.59ms
step:22/500 train_time:12481ms step_avg:567.33ms
step:23/500 train_time:13011ms step_avg:565.68ms
step:24/500 train_time:13615ms step_avg:567.28ms
step:25/500 train_time:14144ms step_avg:565.77ms
step:26/500 train_time:14748ms step_avg:567.24ms
