[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_perhead_canon_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_102742.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_perhead_canon_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_102742 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=1 engram_canonicalize=1 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9378 train_time:0ms step_avg:0.03ms
step:1/500 train_time:616ms step_avg:616.21ms
step:2/500 train_time:1261ms step_avg:630.68ms
step:3/500 train_time:1909ms step_avg:636.39ms
step:4/500 train_time:2553ms step_avg:638.18ms
step:5/500 train_time:3202ms step_avg:640.38ms
step:6/500 train_time:3846ms step_avg:640.93ms
step:7/500 train_time:4495ms step_avg:642.15ms
step:8/500 train_time:5139ms step_avg:642.35ms
step:9/500 train_time:5788ms step_avg:643.12ms
step:10/500 train_time:6432ms step_avg:643.22ms
step:11/500 train_time:7082ms step_avg:643.82ms
step:12/500 train_time:7727ms step_avg:643.90ms
step:13/500 train_time:8376ms step_avg:644.31ms
step:14/500 train_time:9020ms step_avg:644.29ms
step:15/500 train_time:9670ms step_avg:644.65ms
step:16/500 train_time:10315ms step_avg:644.71ms
step:17/500 train_time:10964ms step_avg:644.94ms
step:18/500 train_time:11608ms step_avg:644.90ms
step:19/500 train_time:12258ms step_avg:645.16ms
step:20/500 train_time:12901ms step_avg:645.07ms
step:21/500 train_time:13551ms step_avg:645.31ms
step:22/500 train_time:14196ms step_avg:645.26ms
step:23/500 train_time:14845ms step_avg:645.42ms
step:24/500 train_time:15490ms step_avg:645.40ms
step:25/500 train_time:16138ms step_avg:645.54ms
step:26/500 train_time:16783ms step_avg:645.48ms
step:27/500 train_time:17433ms step_avg:645.66ms
step:28/500 train_time:18076ms step_avg:645.58ms
step:29/500 train_time:18727ms step_avg:645.74ms
step:30/500 train_time:19371ms step_avg:645.68ms
step:31/500 train_time:20020ms step_avg:645.80ms
step:32/500 train_time:20665ms step_avg:645.77ms
step:33/500 train_time:21314ms step_avg:645.87ms
step:34/500 train_time:21959ms step_avg:645.84ms
step:35/500 train_time:22607ms step_avg:645.92ms
step:36/500 train_time:23251ms step_avg:645.86ms
step:37/500 train_time:23900ms step_avg:645.96ms
step:38/500 train_time:24544ms step_avg:645.90ms
step:39/500 train_time:25194ms step_avg:645.99ms
step:40/500 train_time:25837ms step_avg:645.93ms
step:41/500 train_time:26487ms step_avg:646.02ms
step:42/500 train_time:27131ms step_avg:645.98ms
step:43/500 train_time:27780ms step_avg:646.06ms
step:44/500 train_time:28424ms step_avg:646.00ms
step:45/500 train_time:29073ms step_avg:646.07ms
step:46/500 train_time:29717ms step_avg:646.03ms
step:47/500 train_time:30367ms step_avg:646.10ms
step:48/500 train_time:31010ms step_avg:646.05ms
step:49/500 train_time:31660ms step_avg:646.11ms
step:50/500 train_time:32303ms step_avg:646.06ms
