[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam0p5_bf5_h6k4v16_500_20260512_220731.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam0p5_bf5_h6k4v16_500_20260512_220731 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=0.5 rom_sparse_adam_beta2=0.95 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9398 train_time:0ms step_avg:0.03ms
step:1/500 train_time:544ms step_avg:543.94ms
step:2/500 train_time:1148ms step_avg:574.01ms
step:3/500 train_time:1677ms step_avg:559.11ms
step:4/500 train_time:2281ms step_avg:570.27ms
step:5/500 train_time:2810ms step_avg:562.02ms
step:6/500 train_time:3414ms step_avg:569.00ms
step:7/500 train_time:3944ms step_avg:563.40ms
step:8/500 train_time:4548ms step_avg:568.46ms
step:9/500 train_time:5077ms step_avg:564.13ms
step:10/500 train_time:5681ms step_avg:568.12ms
step:11/500 train_time:6211ms step_avg:564.62ms
step:12/500 train_time:6815ms step_avg:567.91ms
step:13/500 train_time:7344ms step_avg:564.96ms
step:14/500 train_time:7949ms step_avg:567.76ms
step:15/500 train_time:8478ms step_avg:565.21ms
step:16/500 train_time:9082ms step_avg:567.65ms
step:17/500 train_time:9612ms step_avg:565.43ms
step:18/500 train_time:10217ms step_avg:567.58ms
step:19/500 train_time:10746ms step_avg:565.60ms
step:20/500 train_time:11351ms step_avg:567.53ms
step:21/500 train_time:11880ms step_avg:565.71ms
step:22/500 train_time:12484ms step_avg:567.46ms
step:23/500 train_time:13013ms step_avg:565.80ms
step:24/500 train_time:13618ms step_avg:567.40ms
step:25/500 train_time:14147ms step_avg:565.89ms
step:26/500 train_time:14752ms step_avg:567.37ms
step:27/500 train_time:15281ms step_avg:565.96ms
step:28/500 train_time:15885ms step_avg:567.32ms
step:29/500 train_time:16414ms step_avg:566.02ms
step:30/500 train_time:17018ms step_avg:567.28ms
step:31/500 train_time:17548ms step_avg:566.06ms
step:32/500 train_time:18152ms step_avg:567.25ms
step:33/500 train_time:18682ms step_avg:566.11ms
step:34/500 train_time:19286ms step_avg:567.23ms
step:35/500 train_time:19816ms step_avg:566.16ms
step:36/500 train_time:20420ms step_avg:567.22ms
step:37/500 train_time:20950ms step_avg:566.21ms
step:38/500 train_time:21554ms step_avg:567.21ms
step:39/500 train_time:22084ms step_avg:566.25ms
step:40/500 train_time:22687ms step_avg:567.19ms
step:41/500 train_time:23217ms step_avg:566.27ms
step:42/500 train_time:23821ms step_avg:567.17ms
step:43/500 train_time:24351ms step_avg:566.29ms
step:44/500 train_time:24954ms step_avg:567.15ms
step:45/500 train_time:25484ms step_avg:566.31ms
step:46/500 train_time:26088ms step_avg:567.12ms
step:47/500 train_time:26617ms step_avg:566.32ms
step:48/500 train_time:27221ms step_avg:567.10ms
step:49/500 train_time:27750ms step_avg:566.33ms
step:50/500 train_time:28354ms step_avg:567.07ms
step:51/500 train_time:28883ms step_avg:566.34ms
step:52/500 train_time:29487ms step_avg:567.06ms
step:53/500 train_time:30016ms step_avg:566.35ms
step:54/500 train_time:30620ms step_avg:567.04ms
step:55/500 train_time:31149ms step_avg:566.35ms
