[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim768_h16_ng3_500_20260513_001353.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim768_h16_ng3_500_20260513_001353 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=768 engram_heads=16 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9356 train_time:0ms step_avg:0.04ms
step:1/500 train_time:557ms step_avg:556.72ms
step:2/500 train_time:1137ms step_avg:568.75ms
step:3/500 train_time:1723ms step_avg:574.18ms
step:4/500 train_time:2303ms step_avg:575.83ms
step:5/500 train_time:2888ms step_avg:577.65ms
step:6/500 train_time:3469ms step_avg:578.15ms
step:7/500 train_time:4054ms step_avg:579.16ms
step:8/500 train_time:4635ms step_avg:579.35ms
step:9/500 train_time:5220ms step_avg:579.98ms
step:10/500 train_time:5801ms step_avg:580.13ms
step:11/500 train_time:6387ms step_avg:580.60ms
step:12/500 train_time:6968ms step_avg:580.65ms
step:13/500 train_time:7553ms step_avg:580.99ms
step:14/500 train_time:8134ms step_avg:581.01ms
step:15/500 train_time:8719ms step_avg:581.28ms
step:16/500 train_time:9300ms step_avg:581.28ms
step:17/500 train_time:9886ms step_avg:581.52ms
step:18/500 train_time:10467ms step_avg:581.50ms
step:19/500 train_time:11052ms step_avg:581.68ms
step:20/500 train_time:11633ms step_avg:581.66ms
step:21/500 train_time:12218ms step_avg:581.83ms
step:22/500 train_time:12800ms step_avg:581.81ms
step:23/500 train_time:13385ms step_avg:581.96ms
step:24/500 train_time:13966ms step_avg:581.92ms
step:25/500 train_time:14552ms step_avg:582.06ms
step:26/500 train_time:15133ms step_avg:582.03ms
step:27/500 train_time:15718ms step_avg:582.15ms
step:28/500 train_time:16299ms step_avg:582.12ms
